
Gurobi 13.0.2 (win64) logging started Sat Jul 11 09:31:02 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL5_tI2_tJ2_s2_m1_exact_s0_20260711-093102.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9894558
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9894558
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 10 rows, 45 columns and 200 nonzeros (Min)
Model fingerprint: 0xca5dbd0b
Model has 45 linear objective coefficients
Variable types: 5 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [2e+01, 7e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 6e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 6 rows and 0 columns
Presolve time: 0.00s
Presolved: 4 rows, 45 columns, 80 nonzeros
Variable types: 5 continuous, 40 integer (40 binary)

Root relaxation: objective 2.843882e+04, 4 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 29023.6738    0   30 100755.000 29023.6738  71.2%     -    0s
     0     0 29026.6903    0   31 100755.000 29026.6903  71.2%     -    0s
     0     0 29027.5454    0   30 100755.000 29027.5454  71.2%     -    0s
     0     0 29029.3085    0   32 100755.000 29029.3085  71.2%     -    0s
     0     0 29032.3973    0   31 100755.000 29032.3973  71.2%     -    0s
     0     0 29048.4170    0   26 100755.000 29048.4170  71.2%     -    0s
     0     0 29054.4062    0   27 100755.000 29054.4062  71.2%     -    0s
     0     0 29063.0770    0   30 100755.000 29063.0770  71.2%     -    0s
     0     0 29068.0964    0   33 100755.000 29068.0964  71.1%     -    0s
     0     0 29069.1598    0   31 100755.000 29069.1598  71.1%     -    0s
     0     0 29070.0736    0   33 100755.000 29070.0736  71.1%     -    0s
     0     0 29070.7061    0   33 100755.000 29070.7061  71.1%     -    0s
     0     0 29074.2553    0   32 100755.000 29074.2553  71.1%     -    0s
     0     0 29079.7739    0   33 100755.000 29079.7739  71.1%     -    0s
     0     0 29093.9122    0   29 100755.000 29093.9122  71.1%     -    0s
     0     0 29107.4900    0   30 100755.000 29107.4900  71.1%     -    0s
     0     0 29119.8459    0   29 100755.000 29119.8459  71.1%     -    0s
     0     0 29135.1154    0   27 100755.000 29135.1154  71.1%     -    0s
     0     0 29143.9456    0   30 100755.000 29143.9456  71.1%     -    0s
     0     0 29147.5962    0   31 100755.000 29147.5962  71.1%     -    0s
     0     0 29148.1230    0   32 100755.000 29148.1230  71.1%     -    0s
