
Gurobi 13.0.2 (win64) logging started Wed Jul 15 21:57:44 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL5_tI3_tJ3_s4_m1_exact_s0_20260715-215744.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9887855
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9887855
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 10 rows, 45 columns and 200 nonzeros (Min)
Model fingerprint: 0x8cfc2a54
Model has 45 linear objective coefficients
Variable types: 5 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [5e+00, 6e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 7e+03]
  RHS range        [6e+02, 6e+02]

Using branch priorities.
Presolve removed 2 rows and 0 columns
Presolve time: 0.00s
Presolved: 8 rows, 45 columns, 160 nonzeros
Variable types: 5 continuous, 40 integer (40 binary)

Root relaxation: objective 2.947549e+04, 8 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 31350.7150    0   33 76633.0000 31350.7150  59.1%     -    0s
     0     0 31357.8864    0   31 76633.0000 31357.8864  59.1%     -    0s
     0     0 31378.3035    0   30 76633.0000 31378.3035  59.1%     -    0s
     0     0 31383.3760    0   30 76633.0000 31383.3760  59.0%     -    0s
     0     0 31393.0865    0   28 76633.0000 31393.0865  59.0%     -    0s
     0     0 31395.1201    0   30 76633.0000 31395.1201  59.0%     -    0s
     0     0 31402.3619    0   30 76633.0000 31402.3619  59.0%     -    0s
     0     0 31409.8245    0   32 76633.0000 31409.8245  59.0%     -    0s
     0     0 31418.2144    0   31 76633.0000 31418.2144  59.0%     -    0s
     0     0 31419.7433    0   31 76633.0000 31419.7433  59.0%     -    0s
     0     0 31425.1439    0   34 76633.0000 31425.1439  59.0%     -    0s
     0     0 31435.9819    0   34 76633.0000 31435.9819  59.0%     -    0s
     0     0 31445.1647    0   34 76633.0000 31445.1647  59.0%     -    0s
     0     0 31452.2530    0   33 76633.0000 31452.2530  59.0%     -    0s
     0     0 31456.5483    0   32 76633.0000 31456.5483  59.0%     -    0s
     0     0 31459.6365    0   34 76633.0000 31459.6365  58.9%     -    0s
     0     0 31473.7776    0   33 76633.0000 31473.7776  58.9%     -    0s
     0     0 31480.1084    0   34 76633.0000 31480.1084  58.9%     -    0s
     0     0 31489.0332    0   32 76633.0000 31489.0332  58.9%     -    0s
     0     0 31490.2221    0   33 76633.0000 31490.2221  58.9%     -    0s
     0     0 31493.3285    0   36 76633.0000 31493.3285  58.9%     -    0s
     0     0 31499.6466    0   35 76633.0000 31499.6466  58.9%     -    0s
     0     0 31527.6870    0   31 76633.0000 31527.6870  58.9%     -    0s
     0     0 31532.9888    0   33 76633.0000 31532.9888  58.9%     -    0s
     0     0 31542.8071    0   33 76633.0000 31542.8071  58.8%     -    0s
     0     0 31550.0388    0   34 76633.0000 31550.0388  58.8%     -    0s
     0     0 31556.6014    0   34 76633.0000 31556.6014  58.8%     -    0s
     0     0 31566.0124    0   32 76633.0000 31566.0124  58.8%     -    0s
     0     0 31574.9452    0   35 76633.0000 31574.9452  58.8%     -    0s
     0     0 31588.8742    0   32 76633.0000 31588.8742  58.8%     -    0s
     0     0 31617.9093    0   34 76633.0000 31617.9093  58.7%     -    0s
     0     0 31625.8411    0   35 76633.0000 31625.8411  58.7%     -    0s
     0     0 31632.9585    0   33 76633.0000 31632.9585  58.7%     -    0s
     0     0 31650.7923    0   34 76633.0000 31650.7923  58.7%     -    0s
     0     0 31665.1383    0   33 76633.0000 31665.1383  58.7%     -    0s
     0     0 31676.4663    0   33 76633.0000 31676.4663  58.7%     -    0s
     0     0 31708.9446    0   29 76633.0000 31708.9446  58.6%     -    0s
     0     0 31723.1620    0   34 76633.0000 31723.1620  58.6%     -    0s
     0     0 31733.9526    0   31 76633.0000 31733.9526  58.6%     -    0s
     0     0 31738.3134    0   35 76633.0000 31738.3134  58.6%     -    0s
     0     0 31755.1918    0   34 76633.0000 31755.1918  58.6%     -    0s
     0     0 31756.5631    0   34 76633.0000 31756.5631  58.6%     -    0s
     0     0 31760.3291    0   34 76633.0000 31760.3291  58.6%     -    0s
     0     0 31777.2836    0   35 76633.0000 31777.2836  58.5%     -    0s
     0     0 31797.0700    0   34 76633.0000 31797.0700  58.5%     -    0s
     0     0 31808.4643    0   34 76633.0000 31808.4643  58.5%     -    0s
     0     0 31809.5606    0   33 76633.0000 31809.5606  58.5%     -    0s
     0     0 31824.4695    0   32 76633.0000 31824.4695  58.5%     -    0s
     0     0 31830.9281    0   35 76633.0000 31830.9281  58.5%     -    0s
     0     0 31839.4888    0   35 76633.0000 31839.4888  58.5%     -    0s
     0     0 31845.8856    0   36 76633.0000 31845.8856  58.4%     -    0s
     0     0 31856.7178    0   35 76633.0000 31856.7178  58.4%     -    0s
     0     0 31882.4009    0   32 76633.0000 31882.4009  58.4%     -    0s
     0     0 31888.6060    0   35 76633.0000 31888.6060  58.4%     -    0s
     0     0 31906.3931    0   32 76633.0000 31906.3931  58.4%     -    0s
     0     0 31935.1880    0   33 76633.0000 31935.1880  58.3%     -    0s
     0     0 31951.6983    0   31 76633.0000 31951.6983  58.3%     -    0s
     0     0 31957.6018    0   33 76633.0000 31957.6018  58.3%     -    0s
     0     0 31963.1222    0   36 76633.0000 31963.1222  58.3%     -    0s
     0     0 31974.5869    0   35 76633.0000 31974.5869  58.3%     -    0s
     0     0 31990.6350    0   33 76633.0000 31990.6350  58.3%     -    0s
     0     0 32002.3465    0   35 76633.0000 32002.3465  58.2%     -    0s
     0     0 32038.7905    0   32 76633.0000 32038.7905  58.2%     -    0s
     0     0 32062.3602    0   33 76633.0000 32062.3602  58.2%     -    0s
     0     0 32074.4603    0   34 76633.0000 32074.4603  58.1%     -    0s
     0     0 32076.7904    0   34 76633.0000 32076.7904  58.1%     -    0s
     0     0 32099.5163    0   31 76633.0000 32099.5163  58.1%     -    0s
     0     0 32140.9781    0   29 76633.0000 32140.9781  58.1%     -    0s
     0     0 32152.1815    0   31 76633.0000 32152.1815  58.0%     -    0s
     0     0 32170.0014    0   30 76633.0000 32170.0014  58.0%     -    0s
     0     0 32182.1382    0   34 76633.0000 32182.1382  58.0%     -    0s
     0     0 32183.9619    0   34 76633.0000 32183.9619  58.0%     -    0s
     0     0 32193.4070    0   34 76633.0000 32193.4070  58.0%     -    0s
     0     0 32199.4082    0   35 76633.0000 32199.4082  58.0%     -    0s
     0     0 32207.7673    0   36 76633.0000 32207.7673  58.0%     -    0s
     0     0 32209.2956    0   34 76633.0000 32209.2956  58.0%     -    0s
     0     0 32212.6334    0   38 76633.0000 32212.6334  58.0%     -    0s
     0     0 32231.8804    0   35 76633.0000 32231.8804  57.9%     -    0s
     0     0 32243.0928    0   37 76633.0000 32243.0928  57.9%     -    0s
     0     0 32248.8832    0   33 76633.0000 32248.8832  57.9%     -    0s
     0     0 32255.2002    0   38 76633.0000 32255.2002  57.9%     -    0s
     0     0 32268.4726    0   37 76633.0000 32268.4726  57.9%     -    0s
     0     0 32276.8613    0   35 76633.0000 32276.8613  57.9%     -    0s
     0     0 32288.5508    0   35 76633.0000 32288.5508  57.9%     -    0s
     0     0 32290.8097    0   36 76633.0000 32290.8097  57.9%     -    0s
     0     0 32294.0569    0   35 76633.0000 32294.0569  57.9%     -    0s
     0     0 32296.4777    0   36 76633.0000 32296.4777  57.9%     -    0s
     0     0 32299.4150    0   38 76633.0000 32299.4150  57.9%     -    0s
     0     0 32309.2571    0   35 76633.0000 32309.2571  57.8%     -    0s
     0     0 32319.7840    0   38 76633.0000 32319.7840  57.8%     -    0s
     0     0 32355.3209    0   34 76633.0000 32355.3209  57.8%     -    0s
     0     0 32372.0825    0   35 76633.0000 32372.0825  57.8%     -    0s
     0     0 32373.8218    0   38 76633.0000 32373.8218  57.8%     -    0s
     0     0 32377.9828    0   38 76633.0000 32377.9828  57.7%     -    0s
     0     0 32393.2187    0   35 76633.0000 32393.2187  57.7%     -    0s
     0     0 32402.9885    0   35 76633.0000 32402.9885  57.7%     -    0s
     0     0 32424.8426    0   36 76633.0000 32424.8426  57.7%     -    0s
     0     0 32436.0174    0   37 76633.0000 32436.0174  57.7%     -    0s
     0     0 32450.6607    0   35 76633.0000 32450.6607  57.7%     -    0s
     0     0 32461.7014    0   36 76633.0000 32461.7014  57.6%     -    0s
