datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260715-204907,kstar_nI40_nJ20_nK100_nL10_tI6_tJ6_s1,exact,0,0,0,600,OPTIMAL,116785.00,116785.00,0.00000000,0.47,0.55,-1.00,-1.00,-1.00,0,-1.00,116785.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI6_tJ6_s1_m0_exact_s0_20260715-204907.gurobi.log
20260715-204907,kstar_nI40_nJ20_nK100_nL10_tI6_tJ6_s2,exact,0,0,0,600,OPTIMAL,114910.00,114909.92,0.00000072,0.49,0.56,-1.00,-1.00,-1.00,0,-1.00,114910.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI6_tJ6_s2_m0_exact_s0_20260715-204907.gurobi.log
20260715-204908,kstar_nI40_nJ20_nK100_nL10_tI6_tJ6_s3,exact,0,0,0,600,OPTIMAL,116177.00,116177.00,0.00000000,0.68,0.75,-1.00,-1.00,-1.00,0,-1.00,116177.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI6_tJ6_s3_m0_exact_s0_20260715-204908.gurobi.log
20260715-204909,kstar_nI40_nJ20_nK100_nL10_tI6_tJ6_s4,exact,0,0,0,600,OPTIMAL,117036.00,117035.08,0.00000790,0.85,0.90,-1.00,-1.00,-1.00,0,-1.00,117036.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI6_tJ6_s4_m0_exact_s0_20260715-204909.gurobi.log
20260715-204910,kstar_nI40_nJ20_nK100_nL10_tI6_tJ6_s5,exact,0,0,0,600,OPTIMAL,111419.00,111419.00,0.00000000,0.52,0.58,-1.00,-1.00,-1.00,0,-1.00,111419.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI6_tJ6_s5_m0_exact_s0_20260715-204910.gurobi.log
20260715-204910,kstar_nI40_nJ20_nK100_nL5_tI2_tJ2_s1,exact,0,0,0,600,OPTIMAL,65063.00,65063.00,0.00000000,0.44,0.48,-1.00,-1.00,-1.00,0,-1.00,65063.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL5_tI2_tJ2_s1_m0_exact_s0_20260715-204910.gurobi.log
20260715-204911,kstar_nI40_nJ20_nK100_nL5_tI2_tJ2_s2,exact,0,0,0,600,OPTIMAL,61457.00,61457.00,0.00000000,0.27,0.31,-1.00,-1.00,-1.00,0,-1.00,61457.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL5_tI2_tJ2_s2_m0_exact_s0_20260715-204911.gurobi.log
20260715-204911,kstar_nI40_nJ20_nK100_nL5_tI2_tJ2_s3,exact,0,0,0,600,OPTIMAL,64473.00,64472.99,0.00000011,0.35,0.38,-1.00,-1.00,-1.00,0,-1.00,64473.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL5_tI2_tJ2_s3_m0_exact_s0_20260715-204911.gurobi.log
20260715-204912,kstar_nI40_nJ20_nK100_nL5_tI2_tJ2_s4,exact,0,0,0,600,OPTIMAL,64602.00,64602.00,0.00000000,0.28,0.32,-1.00,-1.00,-1.00,0,-1.00,64602.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL5_tI2_tJ2_s4_m0_exact_s0_20260715-204912.gurobi.log
20260715-204912,kstar_nI40_nJ20_nK100_nL5_tI2_tJ2_s5,exact,0,0,0,600,OPTIMAL,60155.00,60154.78,0.00000363,0.33,0.36,-1.00,-1.00,-1.00,0,-1.00,60155.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL5_tI2_tJ2_s5_m0_exact_s0_20260715-204912.gurobi.log
20260715-204913,kstar_nI40_nJ20_nK100_nL5_tI3_tJ3_s1,exact,0,0,0,600,OPTIMAL,61279.00,61279.00,0.00000000,0.32,0.35,-1.00,-1.00,-1.00,0,-1.00,61279.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL5_tI3_tJ3_s1_m0_exact_s0_20260715-204913.gurobi.log
20260715-204913,kstar_nI40_nJ20_nK100_nL5_tI3_tJ3_s2,exact,0,0,0,600,OPTIMAL,62749.00,62749.00,0.00000000,0.50,0.53,-1.00,-1.00,-1.00,0,-1.00,62749.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL5_tI3_tJ3_s2_m0_exact_s0_20260715-204913.gurobi.log
20260715-204913,kstar_nI40_nJ20_nK100_nL5_tI3_tJ3_s3,exact,0,0,0,600,OPTIMAL,65517.00,65517.00,0.00000000,0.31,0.34,-1.00,-1.00,-1.00,0,-1.00,65517.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL5_tI3_tJ3_s3_m0_exact_s0_20260715-204913.gurobi.log
20260715-204914,kstar_nI40_nJ20_nK100_nL5_tI3_tJ3_s4,exact,0,0,0,600,OPTIMAL,66175.00,66175.00,0.00000000,0.39,0.43,-1.00,-1.00,-1.00,0,-1.00,66175.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL5_tI3_tJ3_s4_m0_exact_s0_20260715-204914.gurobi.log
20260715-204914,kstar_nI40_nJ20_nK100_nL5_tI3_tJ3_s5,exact,0,0,0,600,OPTIMAL,60422.00,60422.00,0.00000000,0.36,0.39,-1.00,-1.00,-1.00,0,-1.00,60422.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL5_tI3_tJ3_s5_m0_exact_s0_20260715-204914.gurobi.log
20260715-204915,kstar_nI40_nJ20_nK100_nL5_tI4_tJ4_s1,exact,0,0,0,600,OPTIMAL,67532.00,67532.00,0.00000000,0.42,0.46,-1.00,-1.00,-1.00,0,-1.00,67532.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL5_tI4_tJ4_s1_m0_exact_s0_20260715-204915.gurobi.log
20260715-204915,kstar_nI40_nJ20_nK100_nL5_tI4_tJ4_s2,exact,0,0,0,600,OPTIMAL,64589.00,64589.00,0.00000000,0.28,0.31,-1.00,-1.00,-1.00,0,-1.00,64589.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL5_tI4_tJ4_s2_m0_exact_s0_20260715-204915.gurobi.log
20260715-204916,kstar_nI40_nJ20_nK100_nL5_tI4_tJ4_s3,exact,0,0,0,600,OPTIMAL,63443.00,63443.00,0.00000000,0.49,0.52,-1.00,-1.00,-1.00,0,-1.00,63443.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL5_tI4_tJ4_s3_m0_exact_s0_20260715-204916.gurobi.log
20260715-204916,kstar_nI40_nJ20_nK100_nL5_tI4_tJ4_s4,exact,0,0,0,600,OPTIMAL,64295.00,64295.00,0.00000000,0.47,0.50,-1.00,-1.00,-1.00,0,-1.00,64295.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL5_tI4_tJ4_s4_m0_exact_s0_20260715-204916.gurobi.log
20260715-204917,kstar_nI40_nJ20_nK100_nL5_tI4_tJ4_s5,exact,0,0,0,600,OPTIMAL,60970.00,60970.00,0.00000000,0.33,0.36,-1.00,-1.00,-1.00,0,-1.00,60970.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL5_tI4_tJ4_s5_m0_exact_s0_20260715-204917.gurobi.log
