
Gurobi 13.0.2 (win64) logging started Sat Jul 11 09:10:58 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL10_tI6_tJ6_s5_m1_exact_s0_20260711-091058.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9801204
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9801204
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 20 rows, 50 columns and 400 nonzeros (Min)
Model fingerprint: 0x445775cd
Model has 50 linear objective coefficients
Variable types: 10 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [1e+00, 7e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 7e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 18 rows and 0 columns
Presolve time: 0.00s
Presolved: 2 rows, 50 columns, 40 nonzeros
Variable types: 10 continuous, 40 integer (40 binary)

Root relaxation: objective 6.377820e+04, 5 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  3730  2474 74231.0105   30   33 81768.0000 69998.6932  14.4%   4.1    5s
H 3731  2350                    80979.000000 69998.6932  13.6%   4.1    5s
H 3732  2351                    80349.000000 69998.6932  12.9%   4.1    5s
  5237  3203 71172.2681   31    8 80349.0000 70046.7078  12.8%   6.4   10s
  9129  5105 71028.0677   34    7 80349.0000 70173.9794  12.7%   7.0   15s
 11078  5945 70482.1052   24   24 80349.0000 70204.6132  12.6%   7.1   20s
 13720  8041 71246.3503   24   21 80349.0000 70223.9696  12.6%   7.2   25s
 15692  9655 70627.1557   30   12 80349.0000 70261.4842  12.6%   7.4   30s
 17455 10806 72960.3901   42    1 80349.0000 70261.4893  12.6%   7.3   35s
 19491 12381 78854.4847   40    8 80349.0000 70295.9045  12.5%   7.4   40s
 21160 13547 70959.4186   24   23 80349.0000 70320.1783  12.5%   7.3   45s
 22924 14819 70999.8162   22   25 80349.0000 70331.8476  12.5%   7.4   50s
 24519 16270 71375.9111   32   13 80349.0000 70345.4034  12.5%   7.5   55s
 26372 17833 74332.5592   44    2 80349.0000 70370.0969  12.4%   7.6   61s
 28168 18893 73142.2593   41    1 80349.0000 70370.0969  12.4%   7.4   65s
 29816 20006 73636.3150   40    8 80349.0000 70370.2701  12.4%   7.4   70s
 31337 21255 78798.3382   47    1 80349.0000 70388.2711  12.4%   7.4   75s
 33185 22677 71506.5009   27   19 80349.0000 70396.5249  12.4%   7.5   81s
 35239 24131 70999.0487   23   26 80349.0000 70438.0641  12.3%   7.5   88s
 36015 24818 70815.3811   21   26 80349.0000 70438.0641  12.3%   7.5   92s
 37029 25513     cutoff   49      80349.0000 70438.0641  12.3%   7.5   97s
 37895 26259 71952.7742   24   25 80349.0000 70438.0641  12.3%   7.6  100s
 39065 26938 71948.6822   32   15 80349.0000 70472.7152  12.3%   7.6  106s
 39841 27343 71072.7163   22   26 80349.0000 70473.2815  12.3%   7.6  112s
 40235 27908 71421.8109   24   23 80349.0000 70473.2815  12.3%   7.6  116s
 41120 28476 77069.8759   42    4 80349.0000 70481.0146  12.3%   7.6  121s
 41876 29214 73180.4785   31   14 80349.0000 70489.5766  12.3%   7.6  126s
 42937 29937 72155.3309   28   21 80349.0000 70502.6139  12.3%   7.7  131s
 45074 30985 72127.4421   29   18 80349.0000 70515.7121  12.2%   7.7  135s
 46357 32491 71460.2063   26   23 80349.0000 70532.7967  12.2%   7.8  144s
 47504 33474 71998.9492   31   15 80349.0000 70546.2149  12.2%   7.8  150s
 48871 34497 79971.5095   30   14 80349.0000 70546.7709  12.2%   7.8  155s
 51808 36444 72481.2390   23   23 80349.0000 70571.5115  12.2%   7.8  163s
 52947 37238 80238.8919   31   11 80349.0000 70571.5115  12.2%   7.8  168s
 54165 38233 71780.6597   25   23 80349.0000 70574.9189  12.2%   7.8  175s
 55590 39264 79541.9210   46    2 80349.0000 70592.5385  12.1%   7.8  180s
 57108 40282 73763.0789   26   21 80349.0000 70602.1496  12.1%   7.8  186s
 58199 41178 77402.1248   37    8 80349.0000 70603.4744  12.1%   7.9  191s
 59657 42381 71863.5224   26   21 80349.0000 70611.4796  12.1%   7.9  196s
 61294 43564 72250.1174   25   24 80349.0000 70624.9937  12.1%   7.9  203s
 62941 44890 77432.6491   41    6 80349.0000 70636.8629  12.1%   7.9  209s
 64681 46006 71748.6698   26   23 80349.0000 70649.3948  12.1%   7.9  219s
 66133 47172 78018.5139   32   12 80349.0000 70659.3237  12.1%   7.9  224s
 66832 47295 71935.4269   29   20 80349.0000 70660.0220  12.1%   7.9  225s
 67763 48398 73238.7665   32   12 80349.0000 70660.0220  12.1%   7.9  233s
 69459 48731 72861.9652   29   31 80349.0000 70673.4273  12.0%   7.9  259s
 69461 48732 79183.0000   48   37 80349.0000 70673.4273  12.0%   7.9  262s
 69463 48734 72916.9079   30   35 80349.0000 70673.4273  12.0%   7.9  265s
 69466 48736 71927.9629   27   36 80349.0000 70673.4273  12.0%   7.9  271s
 69471 48739 74981.0000   45   37 80349.0000 70673.4273  12.0%   7.9  275s
H69477 46305                    79737.000000 70673.4273  11.4%   7.9  281s
 69482 46308 74998.0223   38   38 79737.0000 70673.4273  11.4%   7.9  285s
 69488 46312 73771.5624   42   37 79737.0000 70673.4273  11.4%   7.9  290s
 69491 46314 79737.0000   45   38 79737.0000 70673.4273  11.4%   7.9  296s
H69493 44000                    79020.000000 70673.4273  10.6%   7.9  300s
 69502 44006 79020.0000   47   38 79020.0000 70673.4273  10.6%   7.9  305s
H69502 41805                    77732.000000 70673.4273  9.08%   7.9  307s
 69506 41807 76232.4340   43   38 77732.0000 70673.4273  9.08%   7.9  310s
 69509 41809 77232.5455   48   38 77732.0000 70673.4273  9.08%   7.9  316s
 69514 41813 73408.0000   43   38 77732.0000 70673.4273  9.08%   7.9  321s
 69516 41814 73254.2000   29   38 77732.0000 70673.4273  9.08%   7.9  325s
 69548 41868 73397.1382   29   28 77732.0000 70673.4273  9.08%   8.0  332s
 69612 41949 75877.1939   31   19 77732.0000 70673.4273  9.08%   8.0  337s
 69683 42019 76609.3691   33   16 77732.0000 70673.4273  9.08%   8.0  343s
