
Gurobi 13.0.2 (win64) logging started Sat Jul 11 08:33:50 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL10_tI6_tJ6_s1_m1_exact_s0_20260711-083349.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9800458
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9800458
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 20 rows, 50 columns and 400 nonzeros (Min)
Model fingerprint: 0xb4f08ac2
Model has 50 linear objective coefficients
Variable types: 10 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [2e+00, 7e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 7e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 18 rows and 0 columns
Presolve time: 0.00s
Presolved: 2 rows, 50 columns, 40 nonzeros
Variable types: 10 continuous, 40 integer (40 binary)

Root relaxation: objective 5.812310e+04, 4 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 60776.5987    0   35 144125.000 60776.5987  57.8%     -    0s
     0     0 60849.1100    0   36 144125.000 60849.1100  57.8%     -    0s
     0     0 60933.0056    0   34 144125.000 60933.0056  57.7%     -    0s
     0     0 61051.0239    0   31 144125.000 61051.0239  57.6%     -    0s
     0     0 61112.7092    0   33 144125.000 61112.7092  57.6%     -    0s
     0     0 61137.5565    0   35 144125.000 61137.5565  57.6%     -    0s
     0     0 61159.0820    0   34 144125.000 61159.0820  57.6%     -    0s
     0     0 61179.8761    0   35 144125.000 61179.8761  57.6%     -    0s
     0     0 61245.7821    0   32 144125.000 61245.7821  57.5%     -    0s
     0     0 61282.7829    0   32 144125.000 61282.7829  57.5%     -    0s
     0     0 61307.7725    0   36 144125.000 61307.7725  57.5%     -    0s
     0     0 61314.5436    0   35 144125.000 61314.5436  57.5%     -    0s
     0     0 61338.1806    0   34 144125.000 61338.1806  57.4%     -    0s
     0     0 61363.3953    0   36 144125.000 61363.3953  57.4%     -    0s
     0     0 61394.6478    0   36 144125.000 61394.6478  57.4%     -    0s
     0     0 61406.2401    0   39 144125.000 61406.2401  57.4%     -    0s
     0     0 61411.4924    0   38 144125.000 61411.4924  57.4%     -    0s
     0     0 61491.0815    0   35 144125.000 61491.0815  57.3%     -    0s
     0     0 61534.0356    0   37 144125.000 61534.0356  57.3%     -    0s
     0     0 61661.7439    0   29 144125.000 61661.7439  57.2%     -    0s
     0     0 61715.0532    0   34 144125.000 61715.0532  57.2%     -    0s
     0     0 61824.9203    0   33 144125.000 61824.9203  57.1%     -    0s
     0     0 61872.2762    0   36 144125.000 61872.2762  57.1%     -    0s
     0     0 61879.2240    0   37 144125.000 61879.2240  57.1%     -    0s
     0     0 61911.5587    0   32 144125.000 61911.5587  57.0%     -    0s
     0     0 61920.0737    0   36 144125.000 61920.0737  57.0%     -    0s
     0     0 61928.7642    0   35 144125.000 61928.7642  57.0%     -    0s
     0     0 61942.8310    0   36 144125.000 61942.8310  57.0%     -    0s
     0     0 61948.0630    0   36 144125.000 61948.0630  57.0%     -    0s
     0     0 62019.9599    0   36 144125.000 62019.9599  57.0%     -    0s
     0     0 62062.9369    0   35 144125.000 62062.9369  56.9%     -    0s
     0     0 62118.2460    0   33 144125.000 62118.2460  56.9%     -    0s
     0     0 62204.5100    0   32 144125.000 62204.5100  56.8%     -    0s
     0     0 62246.2096    0   32 144125.000 62246.2096  56.8%     -    0s
     0     0 62286.6676    0   29 144125.000 62286.6676  56.8%     -    0s
     0     0 62336.5247    0   32 144125.000 62336.5247  56.7%     -    0s
     0     0 62349.5752    0   35 144125.000 62349.5752  56.7%     -    0s
     0     0 62402.6602    0   33 144125.000 62402.6602  56.7%     -    0s
     0     0 62424.0369    0   35 144125.000 62424.0369  56.7%     -    0s
     0     0 62435.5592    0   34 144125.000 62435.5592  56.7%     -    0s
     0     0 62444.7217    0   35 144125.000 62444.7217  56.7%     -    0s
     0     0 62460.0773    0   37 144125.000 62460.0773  56.7%     -    0s
     0     0 62516.1544    0   31 144125.000 62516.1544  56.6%     -    0s
     0     0 62541.4371    0   35 144125.000 62541.4371  56.6%     -    0s
     0     0 62551.0014    0   37 144125.000 62551.0014  56.6%     -    0s
     0     0 62560.5064    0   35 144125.000 62560.5064  56.6%     -    0s
     0     0 62581.7147    0   36 144125.000 62581.7147  56.6%     -    0s
     0     0 62599.4719    0   35 144125.000 62599.4719  56.6%     -    0s
     0     0 62615.3977    0   35 144125.000 62615.3977  56.6%     -    0s
     0     0 62620.9870    0   34 144125.000 62620.9870  56.6%     -    0s
     0     0 62624.8247    0   35 144125.000 62624.8247  56.5%     -    0s
     0     0 62626.2949    0   35 144125.000 62626.2949  56.5%     -    0s
     0     0 62636.1327    0   35 144125.000 62636.1327  56.5%     -    0s
     0     0 62644.3619    0   35 144125.000 62644.3619  56.5%     -    0s
     0     0 62663.0880    0   38 144125.000 62663.0880  56.5%     -    0s
     0     0 62703.0311    0   35 144125.000 62703.0311  56.5%     -    0s
     0     0 62730.5931    0   36 144125.000 62730.5931  56.5%     -    0s
     0     0 62761.2439    0   33 144125.000 62761.2439  56.5%     -    0s
     0     0 62769.8794    0   35 144125.000 62769.8794  56.4%     -    0s
     0     0 62782.8857    0   36 144125.000 62782.8857  56.4%     -    0s
     0     0 62793.9062    0   34 144125.000 62793.9062  56.4%     -    0s
     0     0 62798.4935    0   35 144125.000 62798.4935  56.4%     -    0s
     0     0 62814.2634    0   35 144125.000 62814.2634  56.4%     -    0s
     0     0 62831.9683    0   36 144125.000 62831.9683  56.4%     -    0s
     0     0 62833.8536    0   35 144125.000 62833.8536  56.4%     -    0s
     0     0 62848.7556    0   34 144125.000 62848.7556  56.4%     -    0s
     0     0 62887.8134    0   34 144125.000 62887.8134  56.4%     -    0s
     0     0 62901.2480    0   34 144125.000 62901.2480  56.4%     -    0s
     0     0 62922.6712    0   35 144125.000 62922.6712  56.3%     -    0s
     0     0 62940.0210    0   37 144125.000 62940.0210  56.3%     -    0s
     0     0 62942.1802    0   37 144125.000 62942.1802  56.3%     -    0s
     0     0 62944.4719    0   37 144125.000 62944.4719  56.3%     -    0s
     0     0 62951.9776    0   37 144125.000 62951.9776  56.3%     -    0s
     0     0 62972.1903    0   37 144125.000 62972.1903  56.3%     -    0s
     0     0 62975.3231    0   36 144125.000 62975.3231  56.3%     -    0s
     0     0 62979.0564    0   37 144125.000 62979.0564  56.3%     -    0s
     0     0 62979.3727    0   36 144125.000 62979.3727  56.3%     -    0s
     0     0 62986.5628    0   37 144125.000 62986.5628  56.3%     -    0s
     0     0 62987.8908    0   37 144125.000 62987.8908  56.3%     -    0s
     0     0 62989.0564    0   37 144125.000 62989.0564  56.3%     -    0s
     0     0 62989.3741    0   36 144125.000 62989.3741  56.3%     -    0s
     0     0 62994.7151    0   35 144125.000 62994.7151  56.3%     -    0s
     0     0 62999.2799    0   37 144125.000 62999.2799  56.3%     -    0s
     0     0 63012.8930    0   37 144125.000 63012.8930  56.3%     -    0s
     0     0 63019.1685    0   38 144125.000 63019.1685  56.3%     -    0s
     0     0 63027.7358    0   37 144125.000 63027.7358  56.3%     -    0s
     0     0 63029.7896    0   38 144125.000 63029.7896  56.3%     -    0s
     0     0 63031.6943    0   37 144125.000 63031.6943  56.3%     -    0s
     0     0 63033.7488    0   37 144125.000 63033.7488  56.3%     -    0s
     0     0 63036.4045    0   37 144125.000 63036.4045  56.3%     -    0s
     0     0 63079.0334    0   37 144125.000 63079.0334  56.2%     -    0s
     0     0 63080.9276    0   38 144125.000 63080.9276  56.2%     -    0s
     0     0 63083.4484    0   37 144125.000 63083.4484  56.2%     -    0s
     0     0 63085.4132    0   39 144125.000 63085.4132  56.2%     -    0s
     0     0 63089.1303    0   39 144125.000 63089.1303  56.2%     -    0s
     0     0 63092.7917    0   38 144125.000 63092.7917  56.2%     -    0s
     0     0 63113.9342    0   38 144125.000 63113.9342  56.2%     -    0s
     0     0 63117.1277    0   38 144125.000 63117.1277  56.2%     -    0s
     0     0 63137.9096    0   37 144125.000 63137.9096  56.2%     -    0s
     0     0 63139.5270    0   38 144125.000 63139.5270  56.2%     -    0s
     0     0 63139.9294    0   36 144125.000 63139.9294  56.2%     -    0s
     0     0 63151.2508    0   38 144125.000 63151.2508  56.2%     -    0s
     0     0 63154.9790    0   37 144125.000 63154.9790  56.2%     -    0s
     0     0 63156.2946    0   38 144125.000 63156.2946  56.2%     -    0s
     0     0 63158.8093    0   37 144125.000 63158.8093  56.2%     -    0s
     0     0 63165.1079    0   38 144125.000 63165.1079  56.2%     -    0s
     0     0 63165.2526    0   38 144125.000 63165.2526  56.2%     -    0s
     0     0 63338.7450    0   33 144125.000 63338.7450  56.1%     -    0s
H    0     0                    114733.00000 63353.2939  44.8%     -    0s
H    0     0                    107124.00000 63353.2939  40.9%     -    0s
H    0     0                    104795.00000 63353.2939  39.5%     -    0s
     0     0 63364.1536    0   37 104795.000 63364.1536  39.5%     -    0s
     0     0 63375.2192    0   37 104795.000 63375.2192  39.5%     -    0s
     0     0 63468.6344    0   37 104795.000 63468.6344  39.4%     -    0s
     0     0 63487.1288    0   38 104795.000 63487.1288  39.4%     -    0s
H    0     0                    99012.000000 63493.7492  35.9%     -    0s
H    0     0                    95438.000000 63493.7492  33.5%     -    0s
H    0     0                    93946.000000 63493.7492  32.4%     -    0s
     0     2 63497.0328    0   38 93946.0000 63497.0328  32.4%     -    0s
H 3410  2732                    89792.000000 63692.6032  29.1%   4.0    3s
H 3419  2600                    86778.000000 63692.6032  26.6%   4.0    4s
H 3419  2470                    84201.000000 63692.6032  24.4%   4.0    4s
H 3420  2470                    82917.000000 63692.6032  23.2%   4.0    4s
H 3426  2350                    81053.000000 63692.6032  21.4%   4.0    5s
  4945  3253 64624.1991   33    8 81053.0000 63856.8227  21.2%   6.2   10s
  9134  5348 64112.9453   29   17 81053.0000 63932.7691  21.1%   6.2   15s
 12027  7196 64081.9947   24   20 81053.0000 63961.4186  21.1%   6.2   20s
 14639  9308 64299.1382   24   13 81053.0000 63986.0412  21.1%   6.3   25s
 16433 10835 68211.8938   46    2 81053.0000 63992.8491  21.0%   6.3   30s
 18576 12263 67700.3111   47    1 81053.0000 63994.4702  21.0%   6.3   36s
 20519 13908 64494.5005   31   13 81053.0000 64019.6852  21.0%   6.3   41s
 22242 15053 80457.5419   49    1 81053.0000 64020.0559  21.0%   6.4   45s
 24315 16923 64507.1818   32   16 81053.0000 64026.7727  21.0%   6.4   50s
 25406 17830 64331.3195   27   20 81053.0000 64034.6526  21.0%   6.4   55s
 26631 18883 64936.8931   30   21 81053.0000 64035.3940  21.0%   6.4   61s
 28378 20275 64811.9586   27   23 81053.0000 64044.1217  21.0%   6.5   66s
 30143 21242 64464.1236   27   16 81053.0000 64045.1260  21.0%   6.4   71s
 31353 22275 64482.4099   28   14 81053.0000 64045.1260  21.0%   6.5   75s
 32909 23640 67405.8386   36   11 81053.0000 64059.4756  21.0%   6.5   80s
 34826 25167 66603.9648   31   15 81053.0000 64065.3565  21.0%   6.5   85s
 36708 26597 67613.3458   30   19 81053.0000 64074.2413  20.9%   6.6   92s
 37681 27351 64435.7551   26   21 81053.0000 64078.3157  20.9%   6.6   95s
 38596 28092 65035.3084   28   16 81053.0000 64078.3157  20.9%   6.6  100s
 40306 29211 66297.3343   30   20 81053.0000 64082.2996  20.9%   6.7  109s
 40884 30049 67670.8643   31   20 81053.0000 64087.0646  20.9%   6.7  112s
 42028 30887 64741.0465   33    9 81053.0000 64088.3702  20.9%   6.7  116s
 43136 31586 64939.4716   28   15 81053.0000 64093.9954  20.9%   6.7  123s
 44734 32754 68252.8309   47    2 81053.0000 64095.3091  20.9%   6.7  127s
 45976 33752 65042.9190   24   26 81053.0000 64103.2860  20.9%   6.7  132s
 47123 34660 73617.1893   45    4 81053.0000 64103.6591  20.9%   6.7  137s
 48304 35628 67798.3315   41    8 81053.0000 64103.6591  20.9%   6.7  142s
 49610 36597 77017.6612   50    2 81053.0000 64110.4514  20.9%   6.7  146s
 50863 36882 67542.0000   48   34 81053.0000 64112.9470  20.9%   6.7  151s
 50865 36884 64808.7821   28   38 81053.0000 64112.9470  20.9%   6.7  155s
 50869 36886 68701.0000   45   37 81053.0000 64112.9470  20.9%   6.7  160s
H50870 35042                    79789.000000 64112.9470  19.6%   6.7  165s
H50873 33292                    78242.000000 64112.9470  18.1%   6.7  168s
 50876 33294 71648.0000   51   38 78242.0000 64112.9470  18.1%   6.7  170s
H50879 31630                    72284.000000 64112.9470  11.3%   6.7  175s
 50883 31633 65316.6208   40   38 72284.0000 64112.9470  11.3%   6.7  180s
 50888 31636 71221.0000   49   38 72284.0000 64112.9470  11.3%   6.7  186s
 50891 31638 69603.4974   38   36 72284.0000 64112.9470  11.3%   6.7  190s
 50923 31692 64243.5133   31   32 72284.0000 64112.9470  11.3%   6.8  196s
 50987 31755 66092.4892   33   30 72284.0000 64112.9470  11.3%   6.8  201s
 51199 31978 66833.2476   36   30 72284.0000 64112.9470  11.3%   6.9  205s
 51509 32124 67558.8132   39   26 72284.0000 64112.9470  11.3%   7.0  210s
 51866 32234 68229.5526   44   19 72284.0000 64112.9470  11.3%   7.1  216s
 52020 32362 69082.4494   46   19 72284.0000 64112.9470  11.3%   7.1  220s
 52482 32631 69343.8968   48   13 72284.0000 64112.9470  11.3%   7.1  225s
 53015 32725 70585.1416   51   11 72284.0000 64112.9470  11.3%   7.2  230s
 53234 32995 70113.7914   56    7 72284.0000 64112.9470  11.3%   7.2  235s
 53939 33249 64248.6962   36   26 72284.0000 64112.9470  11.3%   7.2  240s
 54766 33583 65925.5285   47   11 72284.0000 64112.9470  11.3%   7.3  245s
 55631 34286 64733.8748   37   25 72284.0000 64112.9470  11.3%   7.4  252s
 56080 34513 66387.4682   56    6 72284.0000 64112.9470  11.3%   7.4  255s
 57314 35084 66230.1201   50   14 72284.0000 64112.9470  11.3%   7.4  262s
 58382 35717 65060.6679   38   23 72284.0000 64112.9470  11.3%   7.5  267s
 59919 36446 66447.3836   56    2 72284.0000 64112.9470  11.3%   7.5  272s
 60832 36860 67385.5024   49   15 72284.0000 64143.4271  11.3%   7.5  275s
 62556 37642 71935.2653   62    3 72284.0000 64207.9995  11.2%   7.5  283s
 63488 38139 65711.3524   42   19 72284.0000 64215.5105  11.2%   7.6  286s
 64539 38019 66123.0467   41   22 72284.0000 64266.4703  11.1%   7.6  290s
 65411 39049 66556.3170   43   18 72284.0000 64284.2756  11.1%   7.6  298s
 66521 39507 65924.9880   38   24 72284.0000 64313.4032  11.0%   7.6  305s
 67587 40100 66481.0762   49   15 72284.0000 64319.2685  11.0%   7.6  310s
 70157 41322 70079.5178   47   16 72284.0000 64319.2685  11.0%   7.6  318s
 71348 41857 64840.4436   40   21 72284.0000 64357.6943  11.0%   7.6  323s
 72613 42433 66042.3644   43   20 72284.0000 64429.6341  10.9%   7.6  329s
 73869 43095 66704.4305   52   11 72284.0000 64446.9060  10.8%   7.6  335s
 75281 43718     cutoff   65      72284.0000 64475.2214  10.8%   7.7  341s
 76784 43563 66485.0296   39   25 72284.0000 64503.5115  10.8%   7.7  347s
 76929 44259 66646.1481   40   24 72284.0000 64504.3036  10.8%   7.7  355s
 78297 45010 66101.9627   51   13 72284.0000 64505.7779  10.8%   7.7  363s
 79912 45641 69808.1693   44   20 72284.0000 64528.4938  10.7%   7.6  370s
 81258 46266 69871.0709   61    2 72284.0000 64554.4029  10.7%   7.7  378s
 82778 46072 65873.2240   41   24 72284.0000 64554.4574  10.7%   7.7  384s
 82822 46805 65725.4775   41   24 72284.0000 64554.4574  10.7%   7.7  393s
 83816 47546 65933.3706   42   24 72284.0000 64576.9944  10.7%   7.7  400s
 85405 48247 66688.5973   44   20 72284.0000 64596.4222  10.6%   7.7  408s
 86937 49061 65892.9576   41   24 72284.0000 64596.4222  10.6%   7.8  417s
 88951 49740 67620.5411   40   24 72284.0000 64644.8108  10.6%   7.8  431s
 90670 50568 68454.5670   45   18 72284.0000 64679.7247  10.5%   7.8  442s
 92550 51712 67169.5893   45   21 72284.0000 64700.8991  10.5%   7.8  452s
 94991 52734 66353.2366   41   25 72284.0000 64726.1348  10.5%   7.7  462s
 97431 53764 68272.4671   43   21 72284.0000 64758.6490  10.4%   7.7  476s
 99783 54727 67070.6137   43   22 72284.0000 64787.1714  10.4%   7.7  492s
 102105 55910 69675.2884   47   16 72284.0000 64825.3572  10.3%   7.7  507s
 104890 57053 67825.9114   44   20 72284.0000 64857.2236  10.3%   7.7  517s
 107262 58004 67883.8557   36   26 72284.0000 64893.4869  10.2%   7.7  530s
 109919 58894 72009.9113   45   18 72284.0000 64895.5430  10.2%   7.8  543s
