instance,nI,nJ,nK,nL,tI,tJ,seed,kstar_target,md5,status,obj,k_used,kstar,nodes,time,agg,timeout,p1,p2i,p2b,p3,rneg,cap
kstar_nI20_nJ20_nK100_nL5_tI3_tJ3_s2.txt,20,20,100,5,3,3,2,6,fae48688735178c08b3549f40328c5b4,TIMEOUT,66079,40,6,2639,60.009,0,1,0,0,1307,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI3_tJ3_s3.txt,20,20,100,5,3,3,3,6,0a6782920e557ea87ad1cc4adae490ba,TIMEOUT,69071,40,6,2582,60.002,0,1,0,0,1275,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI3_tJ3_s4.txt,20,20,100,5,3,3,4,6,b3d31d527390482c2d0bef732bfa0e59,TIMEOUT,inf,40,6,2855,60.016,0,1,0,0,0,1409,0,0
kstar_nI20_nJ20_nK100_nL5_tI3_tJ3_s5.txt,20,20,100,5,3,3,5,6,6a7eb9c8ee513e4f906cec95c203321b,TIMEOUT,72463,40,6,2571,60.014,0,1,0,0,1271,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI4_tJ4_s1.txt,20,20,100,5,4,4,1,8,087e06396c6ffcec8e24fcbb6f09a984,TIMEOUT,70467,40,8,2665,60.004,0,1,0,0,1319,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI4_tJ4_s2.txt,20,20,100,5,4,4,2,8,4f5cab64e404d1e13350d964493334f5,TIMEOUT,74120,40,8,2599,60.002,0,1,0,0,1285,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI4_tJ4_s3.txt,20,20,100,5,4,4,3,8,4bbf790127bb34853e4940fafa02f0a5,TIMEOUT,76602,40,8,2622,60.014,0,1,0,0,1297,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI4_tJ4_s4.txt,20,20,100,5,4,4,4,8,5a2b3a4280beba3d970ace2f2d6a55bd,TIMEOUT,73953,40,8,2673,60.011,0,1,0,0,1320,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI4_tJ4_s5.txt,20,20,100,5,4,4,5,8,c6f119dedf739e93b8a180682a3a3610,TIMEOUT,68857,40,8,2691,60.009,0,1,0,0,1332,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI5_tJ5_s1.txt,20,20,100,5,5,5,1,10,3ead80e11822c0de8477f5e894ed3414,TIMEOUT,73417,40,10,2627,60.024,0,1,0,0,1294,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI5_tJ5_s2.txt,20,20,100,5,5,5,2,10,bf346c2eea6334a6132b1cb65dfdf5ee,TIMEOUT,70234,40,10,2439,60.005,0,1,0,0,1204,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI5_tJ5_s3.txt,20,20,100,5,5,5,3,10,30baf157dfbc16049a5b65854e3a8e43,TIMEOUT,74100,40,10,2581,60.010,0,1,0,0,1276,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI5_tJ5_s4.txt,20,20,100,5,5,5,4,10,65b2e115b12e6c47d2b94d2802d8bba8,TIMEOUT,72758,40,10,2612,60.013,0,1,0,0,1294,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI5_tJ5_s5.txt,20,20,100,5,5,5,5,10,ca4d7ec11dfb1c6e9a76239d44d1612b,TIMEOUT,72324,40,10,2594,60.009,0,1,0,0,1280,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI6_tJ6_s1.txt,20,20,100,5,6,6,1,12,82511af506a48593c2300bb39f619375,TIMEOUT,72034,40,12,2523,60.013,0,1,0,0,1246,0,0,0
