datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260717-100746,kstar_nI40_nJ20_nK50_nL5_tI6_tJ6_s5,exact,1,0,0,600,FEASIBLE,47294.00,30645.66,0.35201795,600.00,600.00,-1.00,-1.00,-1.00,27468,-1.00,47294.00,1,13.0.2,logs/kstar_nI40_nJ20_nK50_nL5_tI6_tJ6_s5_m1_exact_s0_20260717-100746.gurobi.log
20260717-101749,kstar_nI40_nJ40_nK100_nL10_tI2_tJ2_s1,exact,1,0,0,600,FEASIBLE,245550.00,65224.77,0.73437275,600.00,600.00,-1.00,-1.00,-1.00,38129,-1.00,245550.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI2_tJ2_s1_m1_exact_s0_20260717-101749.gurobi.log
20260717-102752,kstar_nI40_nJ40_nK100_nL10_tI2_tJ2_s2,exact,1,0,0,600,FEASIBLE,231103.00,67521.95,0.70782748,600.00,600.00,-1.00,-1.00,-1.00,40018,-1.00,231103.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI2_tJ2_s2_m1_exact_s0_20260717-102752.gurobi.log
20260717-103756,kstar_nI40_nJ40_nK100_nL10_tI2_tJ2_s3,exact,1,0,0,600,FEASIBLE,262905.00,68596.95,0.73908085,600.00,600.00,-1.00,-1.00,-1.00,39537,-1.00,262905.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI2_tJ2_s3_m1_exact_s0_20260717-103756.gurobi.log
20260717-104800,kstar_nI40_nJ40_nK100_nL10_tI2_tJ2_s4,exact,1,0,0,600,FEASIBLE,320358.00,67773.82,0.78844348,600.00,600.00,-1.00,-1.00,-1.00,37141,-1.00,320358.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI2_tJ2_s4_m1_exact_s0_20260717-104800.gurobi.log
20260717-105805,kstar_nI40_nJ40_nK100_nL10_tI2_tJ2_s5,exact,1,0,0,600,FEASIBLE,291763.00,66781.16,0.77111162,600.00,600.00,-1.00,-1.00,-1.00,36901,-1.00,291763.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI2_tJ2_s5_m1_exact_s0_20260717-105805.gurobi.log
20260717-110810,kstar_nI40_nJ40_nK100_nL10_tI3_tJ3_s1,exact,1,0,0,600,FEASIBLE,282073.00,67323.88,0.76132463,600.00,600.00,-1.00,-1.00,-1.00,31609,-1.00,282073.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI3_tJ3_s1_m1_exact_s0_20260717-110810.gurobi.log
20260717-111813,kstar_nI40_nJ40_nK100_nL10_tI3_tJ3_s2,exact,1,0,0,600,FEASIBLE,229481.00,63991.97,0.72114482,600.00,600.00,-1.00,-1.00,-1.00,33900,-1.00,229481.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI3_tJ3_s2_m1_exact_s0_20260717-111813.gurobi.log
20260717-112814,kstar_nI40_nJ40_nK100_nL10_tI3_tJ3_s3,exact,1,0,0,600,FEASIBLE,245819.00,66482.34,0.72954759,600.00,600.00,-1.00,-1.00,-1.00,31825,-1.00,245819.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI3_tJ3_s3_m1_exact_s0_20260717-112814.gurobi.log
20260717-113815,kstar_nI40_nJ40_nK100_nL10_tI3_tJ3_s4,exact,1,0,0,600,FEASIBLE,182181.00,68890.47,0.62185700,600.00,600.00,-1.00,-1.00,-1.00,34660,-1.00,182181.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI3_tJ3_s4_m1_exact_s0_20260717-113815.gurobi.log
20260717-114817,kstar_nI40_nJ40_nK100_nL10_tI3_tJ3_s5,exact,1,0,0,600,FEASIBLE,262316.00,65447.89,0.75049980,600.00,600.00,-1.00,-1.00,-1.00,35479,-1.00,262316.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI3_tJ3_s5_m1_exact_s0_20260717-114817.gurobi.log
20260717-115820,kstar_nI40_nJ40_nK100_nL10_tI4_tJ4_s1,exact,1,0,0,600,FEASIBLE,220508.00,69146.66,0.68642110,600.00,600.00,-1.00,-1.00,-1.00,32379,-1.00,220508.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI4_tJ4_s1_m1_exact_s0_20260717-115820.gurobi.log
20260717-120822,kstar_nI40_nJ40_nK100_nL10_tI4_tJ4_s2,exact,1,0,0,600,FEASIBLE,163862.00,69131.19,0.57811333,600.00,600.00,-1.00,-1.00,-1.00,29806,-1.00,163862.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI4_tJ4_s2_m1_exact_s0_20260717-120822.gurobi.log
20260717-121825,kstar_nI40_nJ40_nK100_nL10_tI4_tJ4_s3,exact,1,0,0,600,FEASIBLE,192646.00,66087.49,0.65694852,600.00,600.00,-1.00,-1.00,-1.00,35170,-1.00,192646.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI4_tJ4_s3_m1_exact_s0_20260717-121825.gurobi.log
20260717-122829,kstar_nI40_nJ40_nK100_nL10_tI4_tJ4_s4,exact,1,0,0,600,FEASIBLE,197752.00,69668.86,0.64769581,600.00,600.00,-1.00,-1.00,-1.00,33051,-1.00,197752.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI4_tJ4_s4_m1_exact_s0_20260717-122829.gurobi.log
20260717-123831,kstar_nI40_nJ40_nK100_nL10_tI4_tJ4_s5,exact,1,0,0,600,FEASIBLE,236527.00,70405.26,0.70233732,600.00,600.00,-1.00,-1.00,-1.00,35964,-1.00,236527.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI4_tJ4_s5_m1_exact_s0_20260717-123831.gurobi.log
20260717-124835,kstar_nI40_nJ40_nK100_nL10_tI5_tJ5_s1,exact,1,0,0,600,FEASIBLE,177924.00,70838.38,0.60186159,600.00,600.00,-1.00,-1.00,-1.00,32155,-1.00,177924.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI5_tJ5_s1_m1_exact_s0_20260717-124835.gurobi.log
20260717-125838,kstar_nI40_nJ40_nK100_nL10_tI5_tJ5_s2,exact,1,0,0,600,FEASIBLE,191925.00,68901.50,0.64099776,600.00,600.00,-1.00,-1.00,-1.00,34171,-1.00,191925.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI5_tJ5_s2_m1_exact_s0_20260717-125838.gurobi.log
20260717-130840,kstar_nI40_nJ40_nK100_nL10_tI5_tJ5_s3,exact,1,0,0,600,FEASIBLE,181774.00,66544.46,0.63391651,600.00,600.00,-1.00,-1.00,-1.00,31701,-1.00,181774.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI5_tJ5_s3_m1_exact_s0_20260717-130840.gurobi.log
20260717-131844,kstar_nI40_nJ40_nK100_nL10_tI5_tJ5_s4,exact,1,0,0,600,FEASIBLE,173234.00,70426.50,0.59346030,600.00,600.00,-1.00,-1.00,-1.00,33486,-1.00,173234.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI5_tJ5_s4_m1_exact_s0_20260717-131844.gurobi.log
20260717-132848,kstar_nI40_nJ40_nK100_nL10_tI5_tJ5_s5,exact,1,0,0,600,FEASIBLE,182033.00,66207.83,0.63628665,600.00,600.00,-1.00,-1.00,-1.00,37078,-1.00,182033.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI5_tJ5_s5_m1_exact_s0_20260717-132848.gurobi.log
20260717-133850,kstar_nI40_nJ40_nK100_nL10_tI6_tJ6_s1,exact,1,0,0,600,FEASIBLE,175747.00,67684.34,0.61487630,600.00,600.00,-1.00,-1.00,-1.00,32599,-1.00,175747.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI6_tJ6_s1_m1_exact_s0_20260717-133850.gurobi.log
20260717-134853,kstar_nI40_nJ40_nK100_nL10_tI6_tJ6_s2,exact,1,0,0,600,FEASIBLE,180794.00,69896.98,0.61338885,600.00,600.00,-1.00,-1.00,-1.00,34178,-1.00,180794.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI6_tJ6_s2_m1_exact_s0_20260717-134853.gurobi.log
20260717-135856,kstar_nI40_nJ40_nK100_nL10_tI6_tJ6_s3,exact,1,0,0,600,FEASIBLE,187938.00,70070.07,0.62716392,600.00,600.00,-1.00,-1.00,-1.00,35553,-1.00,187938.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI6_tJ6_s3_m1_exact_s0_20260717-135856.gurobi.log
20260717-140900,kstar_nI40_nJ40_nK100_nL10_tI6_tJ6_s4,exact,1,0,0,600,FEASIBLE,158394.00,70426.56,0.55537101,600.00,600.00,-1.00,-1.00,-1.00,33456,-1.00,158394.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI6_tJ6_s4_m1_exact_s0_20260717-140900.gurobi.log
20260717-141904,kstar_nI40_nJ40_nK100_nL10_tI6_tJ6_s5,exact,1,0,0,600,FEASIBLE,154439.00,69915.95,0.54729087,600.00,600.00,-1.00,-1.00,-1.00,34461,-1.00,154439.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL10_tI6_tJ6_s5_m1_exact_s0_20260717-141904.gurobi.log
20260717-142906,kstar_nI40_nJ40_nK100_nL5_tI2_tJ2_s1,exact,1,0,0,600,FEASIBLE,170430.00,33538.33,0.80321344,600.00,600.00,-1.00,-1.00,-1.00,31597,-1.00,170430.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL5_tI2_tJ2_s1_m1_exact_s0_20260717-142906.gurobi.log
20260717-143910,kstar_nI40_nJ40_nK100_nL5_tI2_tJ2_s2,exact,1,0,0,600,FEASIBLE,199323.00,33304.97,0.83290954,600.00,600.00,-1.00,-1.00,-1.00,31554,-1.00,199323.00,1,13.0.2,logs/kstar_nI40_nJ40_nK100_nL5_tI2_tJ2_s2_m1_exact_s0_20260717-143910.gurobi.log
