instance,nI,nJ,nK,nL,tI,tJ,seed,status,obj,k_used,kstar,nodes,time,timeout,p1,p2i,p2b,p3
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s4,12,12,30,3,4,4,4,OPTIMAL,22436,24,8,36815,49.072,0,67,0,18270,27
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s9,12,12,30,3,4,4,9,OPTIMAL,24792,24,8,119301,154.560,0,372,0,59267,0
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s6,12,12,30,3,4,4,6,OPTIMAL,20351,24,8,101077,131.090,0,1094,0,44514,4891
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s8,12,12,30,3,4,4,8,OPTIMAL,28315,24,8,72623,109.204,0,312,0,35992,0
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s10,12,12,30,3,6,6,10,OPTIMAL,21754,24,12,31245,44.339,0,662,0,14956,0
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s1,12,12,30,3,6,6,1,OPTIMAL,22021,24,12,115841,165.156,0,3754,0,52873,1278
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s3,12,12,30,3,6,6,3,OPTIMAL,24534,24,12,22719,35.671,0,500,0,10400,435
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s2,12,12,30,3,6,6,2,OPTIMAL,24405,24,12,31887,47.681,0,693,0,15231,11
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s5,12,12,30,3,6,6,5,OPTIMAL,27413,24,12,16287,24.448,0,323,0,7810,0
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s4,12,12,30,3,6,6,4,OPTIMAL,26812,24,12,15293,24.500,0,421,0,7214,0
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s7,12,12,30,3,6,6,7,OPTIMAL,21558,24,12,21355,30.296,0,240,0,10429,0
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s6,12,12,30,3,6,6,6,OPTIMAL,25446,24,12,19491,29.781,0,227,0,9412,99
