datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260715-204806,kstar_nI20_nJ40_nK100_nL5_tI5_tJ5_s3,exact,0,0,0,600,OPTIMAL,60477.00,60476.23,0.00001274,0.47,0.53,-1.00,-1.00,-1.00,0,-1.00,60477.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI5_tJ5_s3_m0_exact_s0_20260715-204806.gurobi.log
20260715-204807,kstar_nI20_nJ40_nK100_nL5_tI5_tJ5_s4,exact,0,0,0,600,OPTIMAL,60140.00,60140.00,0.00000000,0.54,0.60,-1.00,-1.00,-1.00,0,-1.00,60140.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI5_tJ5_s4_m0_exact_s0_20260715-204807.gurobi.log
20260715-204808,kstar_nI20_nJ40_nK100_nL5_tI5_tJ5_s5,exact,0,0,0,600,OPTIMAL,55270.00,55270.00,0.00000000,0.69,0.75,-1.00,-1.00,-1.00,0,-1.00,55270.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI5_tJ5_s5_m0_exact_s0_20260715-204808.gurobi.log
20260715-204808,kstar_nI20_nJ40_nK100_nL5_tI6_tJ6_s1,exact,0,0,0,600,OPTIMAL,59397.00,59397.00,0.00000000,0.48,0.54,-1.00,-1.00,-1.00,0,-1.00,59397.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI6_tJ6_s1_m0_exact_s0_20260715-204808.gurobi.log
20260715-204809,kstar_nI20_nJ40_nK100_nL5_tI6_tJ6_s2,exact,0,0,0,600,OPTIMAL,55923.00,55923.00,0.00000000,0.65,0.71,-1.00,-1.00,-1.00,0,-1.00,55923.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI6_tJ6_s2_m0_exact_s0_20260715-204809.gurobi.log
20260715-204810,kstar_nI20_nJ40_nK100_nL5_tI6_tJ6_s3,exact,0,0,0,600,OPTIMAL,55811.00,55811.00,0.00000000,0.77,0.83,-1.00,-1.00,-1.00,0,-1.00,55811.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI6_tJ6_s3_m0_exact_s0_20260715-204810.gurobi.log
20260715-204811,kstar_nI20_nJ40_nK100_nL5_tI6_tJ6_s4,exact,0,0,0,600,OPTIMAL,55047.00,55047.00,0.00000000,0.57,0.64,-1.00,-1.00,-1.00,0,-1.00,55047.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI6_tJ6_s4_m0_exact_s0_20260715-204811.gurobi.log
20260715-204811,kstar_nI20_nJ40_nK100_nL5_tI6_tJ6_s5,exact,0,0,0,600,OPTIMAL,59484.00,59484.00,0.00000000,1.00,1.06,-1.00,-1.00,-1.00,0,-1.00,59484.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI6_tJ6_s5_m0_exact_s0_20260715-204811.gurobi.log
20260715-204812,kstar_nI20_nJ40_nK50_nL10_tI2_tJ2_s1,exact,0,0,0,600,OPTIMAL,57550.00,57550.00,0.00000000,0.80,0.86,-1.00,-1.00,-1.00,0,-1.00,57550.00,1,13.0.2,logs/kstar_nI20_nJ40_nK50_nL10_tI2_tJ2_s1_m0_exact_s0_20260715-204812.gurobi.log
20260715-204813,kstar_nI20_nJ40_nK50_nL10_tI2_tJ2_s2,exact,0,0,0,600,OPTIMAL,58277.00,58277.00,0.00000000,0.78,0.84,-1.00,-1.00,-1.00,0,-1.00,58277.00,1,13.0.2,logs/kstar_nI20_nJ40_nK50_nL10_tI2_tJ2_s2_m0_exact_s0_20260715-204813.gurobi.log
20260715-204814,kstar_nI20_nJ40_nK50_nL10_tI2_tJ2_s3,exact,0,0,0,600,OPTIMAL,57580.00,57580.00,0.00000000,0.85,0.90,-1.00,-1.00,-1.00,0,-1.00,57580.00,1,13.0.2,logs/kstar_nI20_nJ40_nK50_nL10_tI2_tJ2_s3_m0_exact_s0_20260715-204814.gurobi.log
20260715-204815,kstar_nI20_nJ40_nK50_nL10_tI2_tJ2_s4,exact,0,0,0,600,OPTIMAL,55526.00,55525.92,0.00000150,0.57,0.63,-1.00,-1.00,-1.00,0,-1.00,55526.00,1,13.0.2,logs/kstar_nI20_nJ40_nK50_nL10_tI2_tJ2_s4_m0_exact_s0_20260715-204815.gurobi.log
20260715-204816,kstar_nI20_nJ40_nK50_nL10_tI2_tJ2_s5,exact,0,0,0,600,OPTIMAL,53523.00,53523.00,0.00000000,0.40,0.45,-1.00,-1.00,-1.00,0,-1.00,53523.00,1,13.0.2,logs/kstar_nI20_nJ40_nK50_nL10_tI2_tJ2_s5_m0_exact_s0_20260715-204816.gurobi.log
