datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260712-234201,PSC2-C4-100-5,exact,0,0,0,3600,FEASIBLE,3917987.18,3582764.45,0.08555993,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,3881896.00,1,13.0.2,logs/PSC2-C4-100-5_m0_exact_s0_20260712-234201.gurobi.log
20260713-004202,PSC2-C4-50-10,exact,0,0,0,3600,FEASIBLE,3538586.00,3388472.62,0.04242186,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,3538586.00,1,13.0.2,logs/PSC2-C4-50-10_m0_exact_s0_20260713-004202.gurobi.log
20260713-014203,PSC2-C4-50-5,exact,0,0,0,3600,FEASIBLE,1882642.00,1847159.33,0.01884727,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,1882642.00,1,13.0.2,logs/PSC2-C4-50-5_m0_exact_s0_20260713-014203.gurobi.log
20260713-024204,PSC2-C5-100-10,exact,0,0,0,3600,FEASIBLE,52485271.00,50879986.54,0.03058543,3599.21,3600.00,-1.00,-1.00,-1.00,0,-1.00,52470702.00,1,13.0.2,logs/PSC2-C5-100-10_m0_exact_s0_20260713-024204.gurobi.log
20260713-034207,PSC2-C5-100-5,exact,0,0,0,3600,FEASIBLE,25968508.00,25689563.90,0.01074163,3599.76,3600.00,-1.00,-1.00,-1.00,0,-1.00,25957748.00,1,13.0.2,logs/PSC2-C5-100-5_m0_exact_s0_20260713-034207.gurobi.log
20260713-044208,PSC2-C5-50-10,exact,0,0,0,3600,FEASIBLE,25641436.00,25555449.24,0.00335343,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,25641436.00,1,13.0.2,logs/PSC2-C5-50-10_m0_exact_s0_20260713-044208.gurobi.log
20260713-054208,PSC2-C5-50-5,exact,0,0,0,3600,FEASIBLE,13079381.00,13035923.81,0.00332257,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,13079381.00,1,13.0.2,logs/PSC2-C5-50-5_m0_exact_s0_20260713-054208.gurobi.log
20260713-064209,PSC3-C1-100-10,exact,0,0,0,3600,FEASIBLE,6519991.00,6510870.87,0.00139879,3599.97,3600.00,-1.00,-1.00,-1.00,0,-1.00,6519991.00,1,13.0.2,logs/PSC3-C1-100-10_m0_exact_s0_20260713-064209.gurobi.log
20260713-074212,PSC3-C1-100-5,exact,0,0,0,3600,FEASIBLE,3789000.00,3782481.21,0.00172045,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,3789000.00,1,13.0.2,logs/PSC3-C1-100-5_m0_exact_s0_20260713-074212.gurobi.log
20260713-084214,PSC3-C1-50-10,exact,0,0,0,3600,FEASIBLE,3279439.00,3273658.54,0.00176264,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,3279439.00,1,13.0.2,logs/PSC3-C1-50-10_m0_exact_s0_20260713-084214.gurobi.log
20260713-094216,PSC3-C1-50-5,exact,0,0,0,3600,FEASIBLE,1930871.00,1929433.87,0.00074429,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,1930871.00,1,13.0.2,logs/PSC3-C1-50-5_m0_exact_s0_20260713-094216.gurobi.log
20260713-104218,PSC3-C2-100-10,exact,0,0,0,3600,FEASIBLE,6457179.00,5923670.69,0.08262251,3599.21,3600.00,-1.00,-1.00,-1.00,0,-1.00,6455374.00,1,13.0.2,logs/PSC3-C2-100-10_m0_exact_s0_20260713-104218.gurobi.log
20260713-114220,PSC3-C2-100-5,exact,0,0,0,3600,FEASIBLE,3212942.00,3205393.99,0.00234925,3599.88,3600.00,-1.00,-1.00,-1.00,0,-1.00,3212942.00,1,13.0.2,logs/PSC3-C2-100-5_m0_exact_s0_20260713-114220.gurobi.log
20260713-124221,PSC3-C2-50-10,exact,0,0,0,3600,FEASIBLE,3010077.00,2983617.61,0.00879027,3599.94,3600.00,-1.00,-1.00,-1.00,0,-1.00,3010077.00,1,13.0.2,logs/PSC3-C2-50-10_m0_exact_s0_20260713-124221.gurobi.log
20260713-134221,PSC3-C2-50-5,exact,0,0,0,3600,FEASIBLE,1639734.00,1633659.83,0.00370436,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,1639734.00,1,13.0.2,logs/PSC3-C2-50-5_m0_exact_s0_20260713-134221.gurobi.log
20260713-144223,PSC3-C3-100-10,exact,0,0,0,3600,FEASIBLE,52729225.00,50534863.59,0.04161566,3599.08,3600.00,-1.00,-1.00,-1.00,0,-1.00,52718978.00,1,13.0.2,logs/PSC3-C3-100-10_m0_exact_s0_20260713-144223.gurobi.log
20260713-154226,PSC3-C3-100-5,exact,0,0,0,3600,FEASIBLE,26043405.00,25412605.67,0.02422108,3599.76,3600.00,-1.00,-1.00,-1.00,0,-1.00,26037804.00,1,13.0.2,logs/PSC3-C3-100-5_m0_exact_s0_20260713-154226.gurobi.log
